race_id,開催日,競馬場,距離,券種,買い方,軸馬番,相手馬番,点数,購入額,的中,払戻,レース名,軸馬名,軸人気,軸オッズ,相手馬名,相手人気,相手オッズ
202505010811,2025/02/23,東京,ダ1600,馬単,1頭軸,14,1|7|8|9|12,5,5000,0,0,フェブラリーS,デルマソトガケ,1,3.3,ヘリオス|馬番7|ガイアフォース|アーテルアストレア|エンペラーワケア,3|99|7|2|5,5.9|999.9|29.4|4.3|7.0
202509020611,2025/04/13,阪神,芝1600,3連複,1頭軸,2,6|8|9|15,6,600,0,0,桜花賞,ウォーターガーベラ,1,3.4,馬番6|エリカエクスプレス|ダンツエラン|アルマヴェローチェ,99|11|2|7,999.9|40.9|3.8|27.3
202509020611,2025/04/13,阪神,芝1600,3連単,流し,2,6|8|9|15,12,1200,0,0,桜花賞,ウォーターガーベラ,1,3.4,馬番6|エリカエクスプレス|ダンツエラン|アルマヴェローチェ,99|11|2|7,999.9|40.9|3.8|27.3
202506030811,2025/04/20,中山,芝2000,3連複,1頭軸,10,1|2|5|9|17,10,1000,0,0,皐月賞,アロヒアリイ,1,1.5,馬番1|ジーティーアダマン|ピコチャンブラック|ファウストラーゼン|クロワデュノール,99|5|7|13|8,999.9|18.7|23.4|74.7|39.8
202508020411,2025/05/04,京都,芝3200,3連単,フォーメーション,5,3|6|8|14|15,12,1200,0,0,天皇賞(春),プラダリア,2,4.5,シュヴァリエローズ|ワープスピード|ブローザホーン|ビザンチンドリーム|ハヤテノフクノスケ,5|1|4|6|7,11.4|3.1|9.7|11.6|17.5
202505021211,2025/06/01,東京,芝2400,3連複,2頭軸,13|17,2|6|7|9|16,5,500,1,2990,日本ダービー,ミュージアムマイル|マスカレードボール,1|3,2.1|6.8,ジョバンニ|ショウヘイ|ファイアンクランツ|カラマティアノス|エムズ,6|4|2|7|14,14.4|10.8|5.7|15.9|114.7
202505030611,2025/06/22,東京,芝1600,馬連,1頭軸,7,4|10|11|12|13,5,500,1,3030,府中牝馬S,ラヴェル,3,6.6,フィールシンパシー|セキトバイースト|カニキュル|ミアネーロ|タガノエルピーダ,9|8|4|5|1,23.1|22.8|6.9|7.1|3.4
202542062511,2025/06/25,浦和,ダ1400,馬単,1頭軸,2,4|5|6|9|11,5,500,1,6150,さきたま杯[指定交流｜2025年6月25日,シャマル,57,36.3,マーブルマカロン|アウストロ|ヘリオス|馬番9|馬番11,55|57|57|99|99,35.9|37.9|36.2|999.9|999.9
202506050811,2025/12/28,中山,芝2500,3連複,2頭軸,5|6,3|4|9|12|13|16,6,600,0,0,有馬記念,ジャスティンパレス|エルトンバローズ,1|4,3.3|5.8,シュヴァリエローズ|馬番4|メイショウタバル|ダノンデサイル|アドマイヤテラ|馬番16,5|99|2|11|9|99,12.7|999.9|3.8|111.5|50.3|999.9
202506050811,2025/12/28,中山,芝2500,3連単,フォーメーション,5|6,3|4|9|12|13|16,12,2400,0,0,有馬記念,ジャスティンパレス|エルトンバローズ,1|4,3.3|5.8,シュヴァリエローズ|馬番4|メイショウタバル|ダノンデサイル|アドマイヤテラ|馬番16,5|99|2|11|9|99,12.7|999.9|3.8|111.5|50.3|999.9
202505041111,2025/11/02,東京,芝2000,3連複,1頭軸,13,3|4|5|6|7,10,1000,0,0,天皇賞(秋),コスモキュランダ,5,8.6,馬番3|ソールオリエンス|ブレイディヴェーグ|タスティエーラ|ホウオウビスケッツ,99|12|2|4|1,999.9|50.3|6.6|7.7|2.7
202508040411,2025/11/16,京都,芝2200,3連複,1頭軸,7,4|6|9|10|13,10,1000,0,0,エリザベス女王杯,オーロラエックス,1,2.3,シンリョクカ|フェアエールング|セキトバイースト|馬番10|レガレイラ,7|5|12|99|3,26.5|12.2|44.1|999.9|6.2
202508040611,2025/11/23,京都,芝1600,馬単,1頭軸,15,1|4|12|14|16|17,6,600,0,0,マイルCS,アスコリピチェーノ,1,1.8,馬番1|ウインマーベル|ウォーターリヒト|ワイドラトゥール|チェルヴィニア|ラヴァンダ,99|9|10|5|13|2,999.9|53.2|53.5|19.3|120.2|5.2
202505050812,2025/11/30,東京,芝2400,3連単,フォーメーション,8,1|2|14|18,9,900,0,0,ジャパンC,ブレイディヴェーグ,4,6.2,ディープモンスター|ヨーホーレイク|サンライズアース|マスカレードボール,5|2|3|6,12.2|4.6|5.0|17.4
202406050811,2024/12/22,中山,芝2500,3連複,1頭軸,8,1|3|6|9|10|16,15,1500,1,20850,有馬記念,スターズオンアース,4,10.9,ハヤヤッコ|ディープボンド|シャフリヤール|ダノンベルーガ|馬番10|ベラジオオペラ,2|1|7|12|99|10,4.0|2.8|17.2|49.7|999.9|30.1
202406050811,2024/12/22,中山,芝2500,ワイド,BOX,,8|9|10|15|16,10,1000,1,4450,有馬記念,,,,スターズオンアース|ダノンベルーガ|馬番10|馬番15|ベラジオオペラ,4|12|99|99|10,10.9|49.7|999.9|999.9|30.1
202405030211,2024/06/02,東京,芝1600,馬連,フォーメーション,7|15,3|5|7|13|15|16,9,900,1,2850,安田記念,ダノンスコーピオン|エルトンバローズ,1|8,3.6|17.3,エアロロノア|フィアスプライド|ダノンスコーピオン|ナミュール|エルトンバローズ|コレペティトール,10|4|1|7|8|14,36.2|10.0|3.6|16.4|17.3|63.1
